[2021-04-05 12:04:01] No settings files found: D:/Mindustry-Server/config/settings.bin and D:/Mindustry-Server/config/settings_backup.bin
[2021-04-05 17:41:05] Saving 7 values; 994 bytes
[2021-04-05 17:41:05] Saving 7 values; 994 bytes
[2021-04-05 17:41:05] Saving 7 values; 994 bytes
[2021-04-05 17:42:02] Saving 7 values; 994 bytes
[2021-04-05 17:43:02] Saving 7 values; 994 bytes
[2021-04-05 17:44:02] Saving 7 values; 994 bytes
[2021-04-05 17:45:02] Saving 7 values; 994 bytes
[2021-04-05 17:46:02] Saving 7 values; 994 bytes
[2021-04-05 17:47:02] Saving 7 values; 994 bytes
[2021-04-05 17:48:02] Saving 7 values; 994 bytes
[2021-04-05 17:48:27] Saving 7 values; 994 bytes
[2021-04-05 17:48:27] Saving 7 values; 994 bytes
[2021-04-05 17:48:27] Saving 7 values; 994 bytes
[2021-04-05 17:49:02] Saving 7 values; 994 bytes
[2021-04-05 17:50:02] Saving 7 values; 994 bytes
[2021-04-05 17:51:02] Saving 7 values; 994 bytes
[2021-04-05 17:52:02] Saving 7 values; 994 bytes
[2021-04-05 17:53:02] Saving 7 values; 994 bytes
[2021-04-05 17:54:02] Saving 7 values; 994 bytes
[2021-04-05 17:55:00] Saving 7 values; 994 bytes
[2021-04-05 17:55:00] Saving 7 values; 994 bytes
[2021-04-05 17:55:00] Saving 7 values; 994 bytes
[2021-04-05 17:55:02] Saving 7 values; 994 bytes
[2021-04-05 17:56:02] Saving 7 values; 994 bytes
[2021-04-05 17:57:02] Saving 7 values; 994 bytes
